Key,Value1,Value2
"Hummus, commercial",0,1.34
"Tomatoes, grape, raw",1,2.09
"Beans, snap, green, canned, regular pack, drained solids",2,1.34
"Frankfurter, beef, unheated",3,99.48
"Nuts, almonds, dry roasted, with salt added",4,0.43
"Kale, raw",5,0.53
"Egg, whole, raw, frozen, pasteurized",6,4.67
"Egg, white, raw, frozen, pasteurized",7,4.67
"Egg, white, dried",8,4.67
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",9,0.77
"Pickles, cucumber, dill or kosher dill",10,0.85
"Cheese, parmesan, grated",11,23.88
"Cheese, pasteurized process, American, vitamin D fortified",12,23.88
"Grapefruit juice, white, canned or bottled, unsweetened",13,1.05
"Peaches, yellow, raw",14,1.05
"Seeds, sunflower seed kernels, dry roasted, with salt added",15,1.93
"Bread, white, commercially prepared",16,0.88
"Kale, frozen, cooked, boiled, drained, without salt",17,0.53
"Mustard, prepared, yellow",18,0.53
"Kiwifruit, green, raw",19,1.05
"Nectarines, raw",20,1.05
"Cheese, cheddar",21,23.88
"Cheese, cottage, lowfat, 2% milkfat",22,23.88
"Cheese, mozzarella, low moisture, part-skim",23,23.88
"Egg, whole, dried",24,4.67
"Egg, yolk, raw, frozen, pasteurized",25,4.67
"Egg, yolk, dried",26,4.67
"Yogurt, Greek, plain, nonfat",27,3.11
"Yogurt, Greek, strawberry, nonfat",28,3.11
"Oil, coconut",29,0.53
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",30,9.87
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",31,9.87
"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",33,12.31
"Olives, green, Manzanilla, stuffed with pimiento",34,0.53
"Cookies, oatmeal, soft, with raisins",35,3.36
"Tomatoes, canned, red, ripe, diced",36,2.09
"Fish, haddock, raw",37,13.63
"Fish, pollock, raw",38,13.63
"Fish, tuna, light, canned in water, drained solids",39,13.63
"Bread, whole-wheat, commercially prepared",43,0.88
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",44,99.48
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",45,99.48
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",46,99.48
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",47,99.48
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",48,99.48
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",49,99.48
"Carrots, frozen, unprepared",50,0.94
"Cheese, dry white, queso seco",51,23.88
"Cheese, ricotta, whole milk",52,23.88
"Cheese, swiss",53,23.88
"Figs, dried, uncooked",54,1.05
"Lettuce, cos or romaine, raw",55,4.93
"Melons, cantaloupe, raw",56,1.06
"Oranges, raw, navels",57,0.47
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",58,3.15
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",62,3.15
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",64,3.15
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",65,99.48
"Sausage, Italian, pork, mild, cooked, pan-fried",66,12.31
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",67,12.31
"Milk, whole, 3.25% milkfat, with added vitamin D",68,3.15
"Sausage, turkey, breakfast links, mild, raw",69,9.87
"Sugars, granulated",70,3.2
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",71,9.87
"Ham, sliced, restaurant",72,12.31
"Cheese, American, restaurant",73,23.88
"Beans, Dry, Medium Red (0% moisture)",74,1.37
"Beans, Dry, Red (0% moisture)",75,1.37
"Beans, Dry, Flor de Mayo (0% moisture)",76,1.37
"Beans, Dry, Brown (0% moisture)",77,1.37
"Beans, Dry, Tan (0% moisture)",78,1.37
"Beans, Dry, Light Tan (0% moisture)",79,1.37
"Beans, Dry, Carioca (0% moisture)",80,1.37
"Beans, Dry, Cranberry (0% moisture)",81,1.37
"Beans, Dry, Light Red Kidney (0% moisture)",82,1.37
"Beans, Dry, Pink (0% moisture)",83,1.37
"Beans, Dry, Dark Red Kidney (0% moisture)",84,1.37
"Beans, Dry, Navy (0% moisture)",85,1.37
